Datum: 27.07.2015 14:57
_KM.M____   RK1-i    RYCH   SL_D1   SP_D1   SK_D2   K70-i   PKcel   ZKS_%   ZKS_b   VK_D2   VL_D1   VP_D1
000.02475   -0.66   33.20    0.18    0.18   -0.13    0.05    1.91    9.38    7.50   -0.38    0.39    0.50
000.025     -0.89   33.20   -0.04    0.23   -0.14    0.05    2.01    9.19    7.50   -0.33    0.41    0.50
000.02525   -1.18   33.20   -0.27    0.24   -0.15    0.06    2.03    8.76    7.50   -0.28    0.40    0.46
000.02550   -1.53   33.20   -0.49    0.22   -0.17    0.06    2.09    8.28    6.00   -0.24    0.34    0.39
000.02575   -1.80   33.20   -0.70    0.16   -0.18    0.06    2.08    7.92    6.00   -0.19    0.25    0.29
000.026     -2.00   33.20   -0.87    0.04   -0.18    0.06    2.11    7.42    3.00   -0.14    0.14    0.18
000.02625   -2.14   33.20   -1.00   -0.12   -0.19    0.06    2.09    8.00    3.00   -0.09    0.04    0.04
000.02650   -2.22   33.20   -1.09   -0.30   -0.20    0.06    2.31    8.42    3.00   -0.04   -0.03   -0.11
000.02675   -2.13   33.20   -1.13   -0.48   -0.20    0.06    2.38    8.67    3.00    0.01   -0.08   -0.29
000.027     -1.99   33.20   -1.14   -0.62   -0.21    0.06    2.52    8.58    3.00    0.06   -0.12   -0.47
000.02725   -1.82   33.20   -1.12   -0.71   -0.21    0.07    2.70    8.08    3.00    0.11   -0.16   -0.66
000.02750   -1.65   33.20   -1.08   -0.75   -0.21    0.07    2.85    7.17    3.00    0.16   -0.22   -0.84
000.02775   -1.43   33.20   -1.02   -0.74   -0.21    0.07    3.02    6.08    3.00    0.22   -0.27   -0.97
000.028     -1.31   33.20   -0.93   -0.69   -0.21    0.07    3.09    6.67    1.50    0.27   -0.29   -1.05
000.02825   -1.21   33.20   -0.80   -0.62   -0.21    0.07    3.17    4.00    1.50    0.32   -0.25   -1.05
000.02850   -1.12   33.20   -0.62   -0.56   -0.20    0.07    3.24    2.84    9.00    0.37   -0.16   -1.00
000.02875   -0.97   33.20   -0.42   -0.49   -0.20    0.07    3.18    3.24    9.00    0.42   -0.03   -0.89
000.029     -0.88   33.20   -0.21   -0.43   -0.19    0.08    3.16    3.57    7.50    0.47    0.10   -0.76
000.02925   -0.74   33.20    0.00   -0.35   -0.18    0.08    3.07    5.42    3.00    0.52    0.20   -0.61
000.02950   -0.61   33.20    0.19   -0.25   -0.17    0.08    2.97    7.50    3.00    0.57    0.25   -0.47
000.02975   -0.57   33.20    0.37   -0.14   -0.16    0.08    2.83    9.33    3.00    0.62    0.25   -0.35
000.030     -0.58   33.20    0.53   -0.02   -0.15    0.08    2.71   10.75    3.00    0.66    0.20   -0.24
000.03025   -0.56   33.20    0.64    0.09   -0.14    0.08    2.49   11.83    3.00    0.70    0.14   -0.14
