Datum: 03.12.2015 06:02
_KM.M____   RK1-i    RYCH   SL_D1   SP_D1   SK_D2   K70-i   PKcel   ZKS_%   ZKS_b   VK_D2   VL_D1   VP_D1
000.01250    0.40   33.40   -1.31   -0.21    0.00    0.01    3.15   10.83    3.00   -0.33   -0.30   -0.66
000.01275    0.25   33.40   -1.39   -0.15    0.01    0.01    3.19   10.14   18.00   -0.36   -0.21   -0.67
000.013      0.11   33.40   -1.40   -0.10    0.03    0.01    3.38    9.47   18.00   -0.39   -0.12   -0.68
000.01325    0.00   33.40   -1.32   -0.06    0.05    0.01    3.55    8.92   19.50   -0.42   -0.02   -0.69
000.01350   -0.02   33.40   -1.20   -0.06    0.07    0.01    3.69    8.33   19.50   -0.45    0.11   -0.71
000.01375    0.00   33.40   -1.02   -0.11    0.08    0.01    3.88    7.77   19.50   -0.48    0.25   -0.73
000.014      0.08   33.40   -0.85   -0.19    0.09    0.01    3.97    7.21   19.50   -0.51    0.39   -0.74
000.01425    0.28   33.40   -0.71   -0.31    0.11    0.01    3.96    6.62   19.50   -0.54    0.49   -0.73
000.01450    0.52   33.40   -0.64   -0.43    0.12    0.01    3.98    5.97   19.50   -0.57    0.55   -0.70
000.01475    0.63   33.40   -0.64   -0.51    0.12    0.01    3.87    5.28   19.50   -0.59    0.57   -0.65
000.015      0.69   33.40   -0.70   -0.54    0.13    0.01    3.75    4.87   19.50   -0.62    0.56   -0.57
000.01525    0.67   33.40   -0.76   -0.49    0.14    0.01    3.75    4.33   19.50   -0.65    0.55   -0.49
000.01550    0.61   33.40   -0.80   -0.39    0.14    0.01    3.61    3.69   19.50   -0.68    0.54   -0.42
000.01575    0.46   33.40   -0.78   -0.26    0.14    0.01    3.61    3.56   13.50   -0.70    0.52   -0.37
000.016      0.34   33.40   -0.69   -0.12    0.14    0.01    3.51    4.00   13.50   -0.73    0.49   -0.36
000.01625    0.25   33.40   -0.51    0.00    0.14    0.01    3.57    4.42    3.00   -0.75    0.42   -0.39
000.01650    0.28   33.40   -0.29    0.05    0.14    0.01    3.54    4.83    4.50   -0.77    0.33   -0.47
000.01675    0.35   33.40   -0.01    0.04    0.13    0.01    3.56    5.42    6.00   -0.80    0.23   -0.57
000.017      0.55   33.40    0.29   -0.03    0.13    0.01    3.51    6.09    6.00   -0.82    0.12   -0.66
000.01725    0.84   33.40    0.58   -0.13    0.12    0.01    3.45    6.51    6.00   -0.83    0.02   -0.73
000.01750    1.17   33.40    0.83   -0.25    0.11    0.01    3.40    6.56    6.00   -0.85   -0.05   -0.75
000.01775    1.48   33.40    1.01   -0.34    0.11    0.02    3.24    6.51    6.00   -0.87   -0.10   -0.72
000.018      1.70   33.40    1.08   -0.39    0.10    0.02    3.23    6.58    3.00   -0.88   -0.11   -0.65
000.01825    1.73   33.40    1.03   -0.39    0.08    0.02    3.15    6.75    3.00   -0.89   -0.11   -0.54
000.01850    1.67   33.40    0.90   -0.37    0.07    0.02    3.05    6.92    3.00   -0.90   -0.10   -0.43
000.01875    1.50   33.40    0.72   -0.33    0.06    0.02    3.04    6.92    3.00   -0.91   -0.10   -0.31
000.019      1.23   33.40    0.53   -0.28    0.04    0.02    2.90    6.50    3.00   -0.92   -0.11   -0.20
000.01925    0.96   33.40    0.37   -0.22    0.03    0.02    2.72    6.33   18.00   -0.92   -0.12   -0.08
000.01950    0.75   33.40    0.25   -0.15    0.01    0.02    2.67    6.33    1.50   -0.92   -0.13    0.02
000.01975    0.53   33.40    0.16   -0.04    0.00    0.02    2.55    5.72   18.00   -0.92   -0.14    0.13
000.020      0.28   33.40    0.07    0.10   -0.01    0.02    2.57    5.22   18.00   -0.92   -0.15    0.21
000.02025    0.03   33.40   -0.03    0.26   -0.03    0.02    2.58    4.61   18.00   -0.91   -0.14    0.28
000.02050   -0.29   33.40   -0.15    0.41   -0.05    0.02    2.54    3.97   18.00   -0.91   -0.13    0.32
000.02075   -0.64   33.40   -0.26    0.52   -0.07    0.02    2.51    3.52   16.50   -0.90   -0.12    0.35
000.021     -0.89   33.40   -0.33    0.57   -0.09    0.02    2.50    2.97   16.50   -0.88   -0.10    0.36
000.02125   -1.07   33.40   -0.35    0.54   -0.10    0.02    2.56    2.75    3.00   -0.87   -0.07    0.36
000.02150   -1.18   33.40   -0.31    0.47   -0.12    0.02    2.60    3.67    3.00   -0.85   -0.05    0.37
000.02175   -1.11   33.40   -0.23    0.36   -0.14    0.02    2.74    4.50    3.00   -0.83   -0.02    0.39
000.022     -0.93   33.40   -0.13    0.24   -0.16    0.02    2.75    5.00    3.00   -0.81    0.04    0.42
000.02225   -0.75   33.40   -0.03    0.11   -0.18    0.03    2.81    5.33    3.00   -0.79    0.12    0.45
000.02250   -0.52   33.40    0.04   -0.02   -0.20    0.03    2.96    5.42    3.00   -0.76    0.21    0.48
000.02275   -0.26   33.40    0.11   -0.15   -0.22    0.03    3.01    5.50    3.00   -0.73    0.31    0.49
000.023     -0.07   33.40    0.17   -0.25   -0.23    0.03    3.14    5.83    1.50   -0.70    0.38    0.47
000.02325    0.08   33.40    0.23   -0.31   -0.25    0.03    3.17    5.78    9.00   -0.66    0.41    0.45
000.02350    0.21   33.40    0.32   -0.31   -0.27    0.03    3.22    6.48    7.50   -0.63    0.40    0.43
000.02375    0.26   33.40    0.40   -0.25   -0.28    0.03    3.21    7.33    7.50   -0.59    0.37    0.41
000.024      0.24   33.40    0.45   -0.14   -0.30    0.03    3.26    8.00    7.50   -0.55    0.33    0.42
000.02425    0.20   33.40    0.45   -0.01   -0.31    0.03    3.27    8.38    7.50   -0.51    0.31    0.43
000.02450    0.08   33.40    0.38    0.09   -0.33    0.03    3.28    8.62    7.50   -0.47    0.33    0.45
000.02475   -0.11   33.40    0.24    0.15   -0.34    0.03    3.35    8.62    7.50   -0.42    0.37    0.46
000.025     -0.31   33.40    0.03    0.18   -0.35    0.04    3.34    8.48    7.50   -0.38    0.40    0.44
000.02525   -0.58   33.40   -0.21    0.17   -0.36    0.04    3.42    8.10    7.50   -0.33    0.39    0.39
000.02550   -0.91   33.40   -0.46    0.15   -0.37    0.04    3.44    7.66    6.00   -0.28    0.34    0.33
000.02575   -1.16   33.40   -0.70    0.10   -0.38    0.04    3.42    7.29    6.00   -0.23    0.26    0.25
000.026     -1.35   33.40   -0.91    0.02   -0.38    0.04    3.46    7.00    3.00   -0.18    0.16    0.16
000.02625   -1.49   33.40   -1.07   -0.10   -0.39    0.04    3.47    7.67    3.00   -0.13    0.06    0.06
000.02650   -1.56   33.40   -1.19   -0.27   -0.39    0.04    3.63    8.00    3.00   -0.07   -0.00   -0.06
000.02675   -1.47   33.40   -1.23   -0.46   -0.40    0.04    3.87    8.33    3.00   -0.02   -0.06   -0.21
000.027     -1.31   33.40   -1.22   -0.63   -0.40    0.04    3.84    8.17    3.00    0.02   -0.13   -0.38
