_KM.M____   RK1-i    RYCH   SL_D1   SP_D1   SK_D2   K70-i   PKcel   ZKS_%   ZKS_b   VK_D2   VL_D1   VP_D1
000.019      1.50   33.30    0.85   -0.46    0.06    0.06    2.15    7.72   18.00   -0.77   -0.16   -0.52
000.01925    1.41   33.30    0.76   -0.40    0.04    0.06    2.03    8.28   18.00   -0.79   -0.15   -0.43
000.01950    1.22   33.30    0.65   -0.34    0.03    0.06    2.09    8.53   18.00   -0.80   -0.16   -0.35
000.01975    0.96   33.30    0.54   -0.26    0.01    0.06    2.01    8.53   18.00   -0.81   -0.19   -0.29
000.020      0.76   33.30    0.45   -0.18    0.00    0.06    2.00    8.42   18.00   -0.82   -0.22   -0.22
000.02025    0.54   33.30    0.37   -0.07   -0.01    0.06    1.72    8.14   18.00   -0.83   -0.23   -0.13
000.02050    0.34   33.30    0.30    0.04   -0.03    0.06    1.79    7.78   18.00   -0.84   -0.22   -0.03
000.02075    0.13   33.30    0.21    0.16   -0.04    0.06    1.89    7.28   18.00   -0.84   -0.18    0.09
000.021     -0.09   33.30    0.07    0.27   -0.06    0.07    1.64    6.67   18.00   -0.84   -0.14    0.20
000.02125   -0.39   33.30   -0.09    0.34   -0.08    0.07    1.74    5.97   18.00   -0.84   -0.10    0.30
000.02150   -0.63   33.30   -0.23    0.39   -0.10    0.07    1.71    5.52   16.50   -0.84   -0.10    0.37
000.02175   -0.81   33.30   -0.31    0.39   -0.12    0.07    1.69    4.97   16.50   -0.83   -0.11    0.41
000.022     -0.95   33.30   -0.31    0.37   -0.14    0.07    1.65    4.60   15.00   -0.83   -0.12    0.43
000.02225   -0.98   33.30   -0.22    0.31   -0.15    0.07    1.77    5.00   13.50   -0.81   -0.10    0.45
000.02250   -0.84   33.30   -0.10    0.25   -0.17    0.07    1.84    5.36   12.00   -0.80   -0.05    0.47
000.02275   -0.68   33.30    0.04    0.18   -0.19    0.07    1.85    5.75   12.00   -0.79    0.04    0.51
000.023     -0.51   33.30    0.16    0.08   -0.21    0.07    1.99    6.15   12.00   -0.77    0.15    0.53
000.02325   -0.27   33.30    0.25   -0.01   -0.22    0.07    1.95    6.42   10.50   -0.75    0.26    0.54
000.02350   -0.08   33.30    0.32   -0.10   -0.24    0.08    2.05    6.96   10.50   -0.72    0.34    0.52
000.02375    0.03   33.30    0.38   -0.16   -0.26    0.08    2.11    7.64    9.00   -0.70    0.37    0.48
000.024      0.12   33.30    0.43   -0.16   -0.27    0.08    2.27    8.58    9.00   -0.67    0.37    0.44
000.02425    0.15   33.30    0.47   -0.09   -0.29    0.08    2.26    9.16    9.00   -0.64    0.34    0.40
000.02450    0.12   33.30    0.48    0.01   -0.30    0.08    2.27    9.78    9.00   -0.60    0.33    0.40
000.02475    0.04   33.30    0.43    0.13   -0.31    0.08    2.29   10.62    7.50   -0.57    0.33    0.43
000.025     -0.08   33.30    0.33    0.23   -0.33    0.08    2.31   11.05    7.50   -0.53    0.36    0.47
000.02525   -0.27   33.30    0.17    0.30   -0.34    0.08    2.36   11.33    7.50   -0.49    0.39    0.50
000.02550   -0.51   33.30   -0.03    0.33   -0.35    0.08    2.37   11.38    7.50   -0.45    0.42    0.53
000.02575   -0.76   33.30   -0.24    0.34   -0.35    0.09    2.48   11.43    7.50   -0.41    0.42    0.52
000.026     -1.03   33.30   -0.45    0.32   -0.36    0.09    2.45   11.35    6.00   -0.36    0.38    0.49
000.02625   -1.28   33.30   -0.64    0.27   -0.37    0.09    2.51   11.09    6.00   -0.32    0.31    0.42
000.02650   -1.44   33.30   -0.81    0.21   -0.37    0.09    2.60   10.94    6.00   -0.27    0.23    0.33
000.02675   -1.55   33.30   -0.94    0.10   -0.38    0.09    2.76   12.33    3.00   -0.22    0.16    0.21
000.027     -1.58   33.30   -1.03   -0.05   -0.38    0.09    2.75   13.17    3.00   -0.17    0.09    0.06
000.02725   -1.53   33.30   -1.07   -0.23   -0.38    0.09    3.06   13.33    3.00   -0.12    0.03   -0.12
000.02750   -1.38   33.30   -1.08   -0.42   -0.38    0.09    3.46   13.42    3.00   -0.06   -0.04   -0.34
000.02775   -1.21   33.30   -1.05   -0.61   -0.38    0.10    3.64   12.92    3.00   -0.01   -0.13   -0.59
000.028     -1.02   33.30   -1.01   -0.76   -0.37    0.10    3.69   12.08    3.00    0.03   -0.23   -0.84
000.02825   -0.81   33.30   -0.96   -0.85   -0.37    0.10    3.78   13.83    1.50    0.09   -0.31   -1.06
000.02850   -0.64   33.30   -0.90   -0.88   -0.36    0.10    3.93   11.17    1.50    0.14   -0.37   -1.25
000.02875   -0.55   33.30   -0.82   -0.84   -0.35    0.10    4.21    8.50    1.50    0.20   -0.36   -1.38
000.029     -0.47   33.30   -0.71   -0.75   -0.35    0.10    4.34    4.67    1.50    0.25   -0.29   -1.43
000.02925   -0.34   33.30   -0.55   -0.64   -0.33    0.10    4.49    2.19   18.00    0.30   -0.19   -1.40
000.02950   -0.25   33.30   -0.37   -0.53   -0.32    0.10    4.28    2.58    9.00    0.36   -0.10   -1.31
000.02975   -0.17   33.30   -0.18   -0.42   -0.31    0.11    4.17    4.67    3.00    0.41   -0.02   -1.17
000.030     -0.03   33.30   -0.00   -0.31   -0.29    0.11    4.19    7.25    3.00    0.46    0.03   -1.00
000.03025    0.04   33.30    0.15   -0.20   -0.28    0.11    3.92    9.50    3.00    0.51    0.05   -0.80
000.03050    0.07   33.30    0.28   -0.09   -0.26    0.11    3.99   11.50    3.00    0.56    0.07   -0.59
000.03075    0.06   33.30    0.37    0.01   -0.24    0.11    3.56   13.08    3.00    0.61    0.09   -0.36
000.031      0.07   33.30    0.42    0.08   -0.22    0.11    3.55   14.58    3.00    0.66    0.11   -0.12
000.03125    0.04   33.30    0.43    0.10   -0.20    0.11    3.33   15.17    3.00    0.70    0.12    0.10
000.03150    0.04   33.30    0.41    0.07   -0.18    0.12    3.03   17.50    1.50    0.74    0.11    0.28
000.03175    0.10   33.30    0.37   -0.01   -0.16    0.12    2.85   17.33    1.50    0.79    0.07    0.40
000.032      0.18   33.30    0.32   -0.11   -0.13    0.12    2.71   16.33    1.50    0.82    0.01    0.50
000.03225    0.28   33.30    0.27   -0.20   -0.11    0.12    2.63   15.33    1.50    0.86   -0.04    0.59
000.03250    0.39   33.30    0.22   -0.24   -0.08    0.12    2.39   14.08    3.00    0.90   -0.07    0.70
000.03275    0.45   33.30    0.16   -0.22   -0.05    0.12    2.17   13.25    3.00    0.93   -0.04    0.85
000.033      0.44   33.30    0.10   -0.13   -0.02    0.12    2.06   12.25    3.00    0.96    0.02    1.00
000.03325    0.35   33.30    0.05    0.00    0.00    0.13    1.97   10.83    3.00    0.98    0.08    1.11
000.03350    0.18   33.30    0.02    0.15    0.02    0.13    1.95    9.50    3.00    1.00    0.13    1.18
000.03375    0.01   33.30    0.03    0.29    0.05    0.13    1.98    8.17    3.00    1.02    0.13    1.19
000.034     -0.14   33.30    0.07    0.42    0.08    0.13    1.91    6.76    7.50    1.04    0.09    1.16
000.03425   -0.23   33.30    0.13    0.51    0.11    0.13    1.65    6.04    9.00    1.05    0.03    1.14
